meanspeed,worm,bacteria
114.4629713172318,N2,BL21
153.47016654213692,N2,BL21
185.59378757392528,N2,BL21
124.10002473801461,N2,BL21
122.38404052536902,N2,BL21
135.14636382818793,N2,BL21
84.08476292512358,N2,BL21
149.4857402514084,N2,BL21
211.10470908383533,N2,NGM
220.7598332414822,N2,NGM
267.50224406199374,N2,NGM
194.13467569095977,N2,NGM
233.38284388796265,N2,NGM
146.82693928279824,N2,NGM
140.4003170092308,CB,BL21
233.32628568725897,CB,BL21
247.01084666900508,CB,BL21
128.50297791481387,CB,BL21
135.642062037102,CB,BL21
110.72741075701752,CB,BL21
145.88074613673388,CB,BL21
173.78750143289227,CB,BL21
97.69202503235903,CB,BL21
140.85925756876034,CB,BL21
279.46488836688025,CB,NGM
140.56129376665314,CB,NGM
187.76699387936188,CB,NGM
169.80654817281612,CB,NGM
192.4026308777983,CB,NGM
258.3123254642992,CB,NGM
150.4176722888254,CB,NGM
177.26445278405015,MT,BL21
61.9157086432707,MT,BL21
175.67928634110243,MT,BL21
206.84826266015045,MT,BL21
209.43208581425395,MT,BL21
238.51549986613327,MT,BL21
55.27181057496696,MT,BL21
237.52698534794186,MT,BL21
176.7418422220608,MT,NGM
243.19958338907102,MT,NGM
165.34529518556624,MT,NGM
120.2230812242236,MT,NGM
163.72561967541495,MT,NGM
99.64748678580496,MT,NGM
95.67313876237499,MT,NGM
148.41517930447006,MT,NGM
256.1311233260131,MT,NGM
118.30096262453216,MT,NGM
158.9719111472665,N2,BL21
113.79242254293341,N2,BL21
143.16338186111105,N2,BL21
163.1538083294304,N2,BL21
170.8493231873708,N2,BL21
105.85013275964155,N2,BL21
75.40483039495432,N2,BL21
111.51913105239665,N2,BL21
175.28879993516006,N2,BL21
155.00414976883408,N2,BL21
293.6701155120793,N2,NGM
305.43608385025954,N2,NGM
216.27677803381405,N2,NGM
322.0721887920073,N2,NGM
274.18843535037166,N2,NGM
258.3132477884962,N2,NGM
206.25753085875604,N2,NGM
150.86685878119042,N2,NGM
174.65297864222012,N2,NGM
182.52790450783098,N2,NGM
226.7492394078745,N2,NGM
137.87774554923226,CB,BL21
183.20727116539527,CB,BL21
213.74802240497777,CB,BL21
204.75467800381165,CB,BL21
71.57489601921351,CB,BL21
181.30587775143655,CB,BL21
133.90202418850384,CB,BL21
150.14671104215515,CB,BL21
173.78620159719142,CB,BL21
112.53474237118479,CB,BL21
248.94982399041302,CB,NGM
197.21634576372787,CB,NGM
305.29967201214026,CB,NGM
212.72826487680695,CB,NGM
230.40217225282066,CB,NGM
318.0210760330174,CB,NGM
187.59264367053225,CB,NGM
215.9774744493601,CB,NGM
169.89745422304588,CB,NGM
198.79391402052377,CB,NGM
272.88397001647127,CB,NGM
114.15772321938742,MT,BL21
124.59836776159669,MT,BL21
138.62321763435094,MT,BL21
92.051722384854,MT,BL21
95.5723418461313,MT,BL21
73.02235655670694,MT,BL21
90.85644579293631,MT,BL21
38.11840502135311,MT,BL21
93.33806195014793,MT,BL21
133.6126090851039,MT,NGM
230.24426901439847,MT,NGM
151.6148179627152,MT,NGM
132.4461959597401,MT,NGM
234.37288804611083,MT,NGM
197.52614537336743,MT,NGM
117.68857746102452,MT,NGM
184.62278536785723,MT,NGM
201.68411302119537,MT,NGM
172.3949793148681,MT,NGM
239.2577135887052,N2,BL21
251.29092437301935,N2,BL21
235.64925981428232,N2,BL21
231.31585270513517,N2,BL21
262.0151904877456,N2,BL21
206.47175962362007,N2,BL21
252.51515576290302,N2,BL21
175.199885779274,N2,BL21
141.79903349848828,N2,BL21
154.60308600539713,N2,BL21
74.24692639262751,N2,BL21
159.4601302921397,N2,BL21
303.5162532274994,N2,NGM
299.7440035878106,N2,NGM
235.09825484999556,N2,NGM
314.1757393677208,N2,NGM
296.59637576510914,N2,NGM
257.2314037906895,N2,NGM
318.37351494470323,N2,NGM
282.710520858143,N2,NGM
177.13418067820047,N2,NGM
204.8043843663239,N2,NGM
213.7077301209536,N2,NGM
87.98486345285633,CB,BL21
173.9644199651068,CB,BL21
138.0741518595771,CB,BL21
102.75862895337636,CB,BL21
130.63603644304732,CB,BL21
129.85939509240842,CB,BL21
80.76459875485735,CB,BL21
79.76339494508655,CB,BL21
243.40103237636552,CB,NGM
268.8650107199182,CB,NGM
253.80263992012272,CB,NGM
300.35707201307144,CB,NGM
271.43545781150175,CB,NGM
235.15735213385236,CB,NGM
261.4417273811866,CB,NGM
259.96981775433466,CB,NGM
238.55374589754095,CB,NGM
165.46442856621465,MT,BL21
140.00060624842,MT,BL21
88.73999526526778,MT,BL21
142.92002885906433,MT,BL21
114.3766996558856,MT,BL21
66.23392631099944,MT,BL21
182.9872682094316,MT,BL21
141.20992041254735,MT,BL21
97.77861055976884,MT,BL21
67.67189255169431,MT,BL21
49.33260418711671,MT,BL21
210.8631674004954,MT,NGM
263.3666655297462,MT,NGM
145.97650082710223,MT,NGM
150.04553983586263,MT,NGM
237.84621453891626,MT,NGM
192.71858081477683,MT,NGM
180.8169880484716,MT,NGM
208.92782009274956,MT,NGM
