"Worm Data","Position (um) of Centroid"
"Sequence","VID00072.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y","4 x","4 y"
1,0,3840.0047263887773,9060.733562152318,13633.159130485146,8059.0702320160217,9425.5011605469062,5384.4949116610051,7460.5162558218608,3189.6078840680757
2,0.040000000000000001,3838.6692891371563,9060.0969157559011,13639.068185388585,8071.12327931662,9432.9827539699818,5388.6767472621705,7463.5926287560651,3190.2889617694336
3,0.080000000000000002,3843.1639179089161,9054.4254328427833,13636.315870055951,8063.5457973740649,9438.9128637150316,5390.2643499095902,7461.719357450289,3189.6824051898457
4,0.12,3849.096100555385,9048.3983276604849,13638.937570867796,8069.3480032469743,9442.633189325803,5392.9561268549733,7460.2730000043812,3190.0624322863296
5,0.16,3855.2564715829344,9045.0416314262984,13638.96134145531,8069.4500216155111,9443.7853454967699,5394.1465436191838,7462.4922061814568,3189.8723985008919
6,0.20000000000000001,3868.250550165134,9035.346797449638,13645.776506660672,8087.2110846018659,9444.5471034314323,5393.5260357496381,7465.0092722289264,3189.5437580291655
7,0.23999999999999999,3871.4639572829724,9032.1385952751461,13640.676543199466,8076.8843974478432,9446.3060577028609,5393.8701293750728,7459.0655565401212,3190.3162016535307
8,0.28000000000000003,3881.901484421533,9024.2194922898052,13642.573080395006,8079.0910732756656,9448.3947819576842,5394.849732852972,7461.3434234026372,3190.5101512681367
9,0.32000000000000001,3888.5851576721661,9020.5254003424616,13643.72740915334,8085.1497687286892,9448.6317493775496,5395.0451420039499,7459.642726437718,3189.6635354600794
10,0.35999999999999999,3901.1011080004955,9012.3013978071176,13645.307722122074,8084.0185117254714,9450.0024735246243,5395.2096177910607,7459.5776212048559,3190.3010126329755
11,0.40000000000000002,3931.978892472509,8992.4397948056685,13645.785284009613,8089.7414987305956,9444.353942876669,5393.8017010002277,7460.1983638030752,3190.9336675801515
12,0.44,3936.4084281012638,8988.7984471295149,13644.632451984908,8086.070183045631,9441.8426031655272,5392.3390889163129,7458.5594976206221,3191.8679376446962
13,0.47999999999999998,3942.5509798843627,8986.0362045001839,13645.116637356694,8088.7424824582758,9450.8276294197403,5395.8345453153806,7460.7677577424884,3191.4735914775765
14,0.52000000000000002,3954.0746642596823,8979.024817251915,13644.993364142094,8092.9795024174455,9438.2689391853382,5389.9678984882303,7460.2619919118124,3190.2356122782157
15,0.56000000000000005,3965.6966988429567,8971.9197399348741,13645.579771460261,8096.4909496546752,9438.4187625559716,5389.5195254257669,7461.2992473261083,3190.1917878803852
16,0.59999999999999998,3974.2351006116628,8966.116262169533,13649.231123734131,8098.0895841607507,9450.8948391332524,5394.7391917330106,7456.7370015937377,3190.6458940141856
17,0.64000000000000001,3980.5295393895813,8961.2576695713415,13647.885386860373,8102.6539806676428,9441.1188255638353,5391.990111692121,7443.4385772321257,3193.101229269354
18,0.68000000000000005,3986.7842346298739,8956.3741699285038,13648.266076572816,8104.8378323300722,9437.858124576549,5390.1127890602811,7437.8372446039111,3196.9902168555864
19,0.71999999999999997,3990.8215462910116,8951.2901328841126,13649.006979114805,8122.734788126636,9451.263739269858,5395.6632857360037,7426.1438472363325,3202.0291207637238
20,0.76000000000000001,3994.131789577933,8948.1929061061728,13650.843591616269,8128.5488876241016,9445.4347737806092,5393.477984100241,7420.9608289568096,3202.7514157488858
21,0.80000000000000004,4000.7935231574525,8940.9978425105255,13651.097363383444,8128.8624691134719,9436.2808509739571,5388.1698303157045,7406.4059115126147,3210.5954387644115
22,0.83999999999999997,4004.8655587530388,8937.5852604288593,13652.041902099121,8134.4329884063045,9438.4107078228189,5389.5875065127193,7408.2149718186647,3211.3977608827918
23,0.88,4010.7877430679168,8932.5991613123224,13649.430930870145,8158.3459830026804,9434.9022958727655,5387.1169963665898,7399.9432729353612,3216.0143566688539
24,0.92000000000000004,4017.761049643635,8925.4758501895813,13648.124797332051,8165.2949363981506,9424.3790466697683,5382.3159048003345,7397.3881417876128,3218.2748340801518
25,0.95999999999999996,4020.7608365542014,8920.7492771124089,13647.684203040762,8168.3174447205211,9420.7082630643854,5381.823828612859,7392.5237142008864,3221.1440508205715
26,1,4024.9509145972147,8916.1040412613529,13647.718935176375,8173.6494516213252,9421.1867812945475,5380.5268256751042,7384.485949715885,3223.2051895882751
