id,track,speed,correctspeed
DA_N2_BL21,1,18.80455176254886,188.04551762548863
DA_N2_BL21,1,12.884858982927636,128.84858982927636
DA_N2_BL21,1,11.184152690568808,111.84152690568808
DA_N2_BL21,1,13.315000582658962,133.15000582658962
DA_N2_BL21,1,7.251204136541446,72.51204136541446
DA_N2_BL21,1,9.404084746628351,94.04084746628351
DA_N2_BL21,1,6.000719305686197,60.00719305686197
DA_N2_BL21,1,5.76736682341563,57.673668234156295
DA_N2_BL21,1,9.249430755485204,92.49430755485204
DA_N2_BL21,1,6.732887138706497,67.32887138706496
DA_N2_BL21,1,3.7681978857907303,37.6819788579073
DA_N2_BL21,2,16.53299012193994,165.3299012193994
DA_N2_BL21,2,19.879739765270905,198.79739765270904
DA_N2_BL21,2,15.781682915673297,157.81682915673298
DA_N2_BL21,2,11.244889973922858,112.44889973922858
DA_N2_BL21,2,14.606731196324052,146.0673119632405
DA_N2_BL21,2,17.36252400386785,173.6252400386785
DA_N2_BL21,2,9.205269592303788,92.05269592303787
DA_N2_BL21,2,10.071098899195837,100.71098899195837
DA_N2_BL21,2,12.356165171205442,123.56165171205441
DA_N2_BL21,2,15.63745152655066,156.3745152655066
DA_N2_BL21,2,18.478769280685025,184.78769280685026
DA_N2_BL21,3,8.728054891413896,87.28054891413896
DA_N2_BL21,3,9.118080766554522,91.18080766554522
DA_N2_BL21,3,10.52865841107281,105.2865841107281
DA_N2_BL21,3,8.385126215803584,83.85126215803584
DA_N2_BL21,3,11.485210189796883,114.85210189796882
DA_N2_BL21,3,9.125147525516361,91.25147525516361
DA_N2_BL21,3,5.933948011098709,59.33948011098708
DA_N2_BL21,3,5.897999188656781,58.97999188656782
DA_N2_BL21,3,6.223047279150813,62.23047279150813
DA_N2_BL21,3,10.071744915742869,100.71744915742869
DA_N2_BL21,3,12.81749451500993,128.1749451500993
DA_N2_BL21,4,26.233872617806487,262.33872617806486
DA_N2_BL21,4,25.885924921266753,258.8592492126675
DA_N2_BL21,4,20.20295977494262,202.02959774942622
DA_N2_BL21,5,27.482683307142075,274.82683307142077
DA_N2_BL21,5,23.073731145133372,230.7373114513337
DA_N2_BL21,6,5.6892395365668325,56.89239536566832
DA_N2_BL21,6,3.3178093525054657,33.178093525054656
DA_N2_BL21,6,5.495430924809324,54.95430924809324
DA_N2_BL21,6,5.103560292957449,51.035602929574495
DA_N2_BL21,6,4.308229231432325,43.08229231432325
DA_N2_BL21,6,7.517884294719354,75.17884294719354
DA_N2_BL21,6,7.146911795386994,71.46911795386994
DA_N2_BL21,6,6.852852335483016,68.52852335483016
DA_N2_BL21,6,11.463278437401502,114.63278437401502
DA_N2_BL21,6,5.66847592237629,56.684759223762896
DA_N2_BL21,6,6.487319292833023,64.87319292833023
DA_N2_BL21,7,4.562236608490112,45.62236608490112
DA_N2_BL21,7,4.554362061188942,45.54362061188942
DA_N2_BL21,7,9.947481266779665,99.47481266779664
DA_N2_BL21,7,8.196344644348056,81.96344644348056
DA_N2_BL21,7,6.122678231097462,61.22678231097461
DA_N2_BL21,7,7.130422310655644,71.30422310655644
DA_N2_BL21,7,6.236426939974554,62.36426939974554
DA_N2_BL21,7,6.015181901431754,60.15181901431754
DA_N2_BL21,7,8.493586414845627,84.93586414845626
DA_N2_BL21,7,9.463521051282902,94.63521051282902
DA_N2_BL21,7,11.183918411810359,111.83918411810359
DA_N2_BL21,8,7.356118779734167,73.56118779734167
DA_N2_BL21,8,10.056158351900788,100.56158351900788
DA_N2_BL21,9,10.276562911185373,102.76562911185373
DA_N2_BL21,9,8.177783922498133,81.77783922498134
DA_N2_BL21,9,8.87545779181583,88.7545779181583
DA_N2_BL21,9,8.5818443163346,85.81844316334599
DA_N2_BL21,9,6.726259075752824,67.26259075752824
DA_N2_BL21,9,9.870509121679024,98.70509121679024
DA_N2_BL21,9,12.915633427958706,129.15633427958707
DA_N2_BL21,10,10.347983566496847,103.47983566496848
DA_N2_BL21,10,11.052513453508118,110.52513453508118
DA_N2_BL21,10,12.332737451556067,123.32737451556068
DA_N2_BL21,10,13.825234717671282,138.25234717671282
DA_N2_BL21,10,12.071690025823909,120.7169002582391
DA_N2_BL21,10,9.461269965995742,94.61269965995741
DA_N2_BL21,10,8.02860875941455,80.2860875941455
DA_N2_BL21,10,8.923040876158954,89.23040876158953
DA_N2_BL21,10,5.82592234243352,58.259223424335204
DA_N2_BL21,10,10.880006385191509,108.80006385191508
DA_N2_BL21,10,5.338147445667387,53.38147445667387
DA_N2_BL21,11,13.045403123393106,130.45403123393106
DA_N2_BL21,11,6.402573712147101,64.02573712147101
DA_N2_BL21,11,13.832151953623855,138.32151953623855
DA_N2_BL21,11,7.833108954856391,78.33108954856391
DA_N2_BL21,11,8.466831487945818,84.66831487945818
DA_N2_BL21,11,6.296178127220847,62.96178127220847
DA_N2_BL21,11,11.039033419014164,110.39033419014163
DA_N2_BL21,11,11.2584238754792,112.58423875479201
DA_N2_BL21,12,9.493960297877889,94.9396029787789
DA_N2_BL21,12,7.517742595893421,75.17742595893421
DA_N2_BL21,12,6.439223167523409,64.39223167523409
DA_N2_NGM,1,35.070691442293835,350.7069144229383
DA_N2_NGM,1,31.680008750885463,316.80008750885463
DA_N2_NGM,1,28.51093812103461,285.1093812103461
DA_N2_NGM,2,28.586986556638443,285.8698655663844
DA_N2_NGM,2,24.966635939999836,249.66635939999836
DA_N2_NGM,2,26.630051522241768,266.3005152224177
DA_N2_NGM,2,22.954441848875895,229.54441848875894
DA_N2_NGM,2,29.4721399222229,294.721399222229
