"Worm Data","Position (um) of Centroid"
"Sequence","VID00122.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y"
1,0,10064.599060549768,7289.9677154189376,15008.794504659778,5701.5308955242926,3339.1942430572749,2955.4346908113384
2,0.040000000000000001,10063.905638175598,7291.6653704736491,15013.74582780217,5711.2612409386302,3339.4219093802039,2958.6298908956387
3,0.080000000000000002,10065.717534940841,7284.0677216582817,15020.662366086637,5719.5294004817024,3338.3717003012425,2966.5852412783888
4,0.12,10064.675902455709,7288.3791165923103,15030.583318717803,5729.4883589020928,3338.6135031454792,2971.6946082612458
5,0.16,10066.246127432392,7282.7119912160979,15043.702020766166,5742.2362375641433,3336.4400110170336,2980.5570660039357
6,0.20000000000000001,10069.333597393039,7274.6370724640874,15056.454821709007,5746.1873926796179,3337.286294352738,2980.0627676773365
7,0.23999999999999999,10071.782757116178,7271.2165668525131,15071.229114956934,5751.3916430334957,3334.6639426573615,2987.7241204326438
8,0.28000000000000003,10073.71165362753,7266.4157856929578,15084.864264211406,5754.826412161412,3334.0343545070464,2991.6632977492545
9,0.32000000000000001,10085.645546454203,7246.7333286739067,15100.390190930395,5756.2838657171997,3331.230557527776,2992.6873408570445
10,0.35999999999999999,10091.523819289112,7240.8791124870895,15106.951156790203,5756.4682154160919,3329.6236879062931,3001.0007272625116
11,0.40000000000000002,10119.486842306551,7218.8574730383179,15120.282287592925,5755.101372753109,3326.868137014209,3003.877174074144
12,0.44,10118.452879929269,7217.7420328621774,15125.226178643914,5753.0313142051637,3324.2005029170068,3008.9986469342721
13,0.47999999999999998,10132.844892372672,7207.328758871874,15126.692044418302,5752.7842094753632,3320.6876511017654,3014.7244058001706
14,0.52000000000000002,10120.851905418269,7217.2071619206754,15129.37577321085,5753.4023741123128,3319.3977073485862,3014.448276631153
15,0.56000000000000005,10119.810544958469,7216.1533142425524,15129.00200832751,5752.8518114729095,3317.6814219238649,3016.8538854934595
16,0.59999999999999998,10103.559029801185,7229.7948301771285,15130.921343883891,5754.5839763567592,3315.4243274642722,3018.3244930476321
17,0.64000000000000001,10104.158224108283,7230.389915534498,15128.621863694276,5754.1394472992743,3311.3447953335403,3021.4060875209543
