"Worm Data","Position (um) of Centroid"
"Sequence","VID00124.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y","4 x","4 y"
1,0,6964.0551063228568,9351.9797204495717,9063.5284061730399,7391.3939447512621,12732.433534958496,2956.6093417104539,4287.1311901850795,1615.6273204781755
2,0.040000000000000001,6963.8489506425549,9355.8404791895191,9065.4648500156636,7393.1279728444497,12742.660474321003,2959.5306358228008,4288.450253200489,1618.2808435477
3,0.080000000000000002,6961.8028518227684,9357.8895391716978,9069.3828073734076,7398.0197474623619,12755.078605957335,2964.4455926697219,4286.7137366118131,1614.3587619554346
4,0.12,6963.6466535091149,9362.2356588182574,9072.1649846487853,7404.3727187590539,12759.588485871287,2967.3306067802259,4287.4622095797486,1615.8328483487239
5,0.16,6964.0338005541762,9365.716025157144,9074.2545281568619,7409.5969498721215,12762.366493282516,2968.6013001484989,4283.8236689061032,1608.4109219149595
6,0.20000000000000001,6964.563836034924,9368.4162526869113,9077.7261908014552,7414.2776570656933,12769.530301336512,2974.2046793323243,4282.3947598345158,1602.3322890514301
7,0.23999999999999999,6969.2716418493592,9376.0853347321772,9080.0134689195202,7419.3158340663213,12773.873899155038,2978.5508697033956,4280.4548184903369,1598.8622380344423
8,0.28000000000000003,6968.0390632665521,9377.3415827401768,9081.4237123032708,7423.4974404803825,12787.971167084743,2984.5542279207612,4278.1479016209578,1594.7130217485919
9,0.32000000000000001,6973.8310359518509,9381.9178232439517,9078.003230596516,7413.2127363631989,12797.131922392144,2992.4300401022665,4277.1386346618829,1591.4964500882816
10,0.35999999999999999,6969.7404880110907,9374.1638401850432,9078.5127022913239,7414.0659479025726,12815.797051513819,3000.3938263832606,4274.5417337470362,1588.195286215232
11,0.40000000000000002,6978.715983796963,9386.5766379448432,9078.6243292971285,7413.9886466864427,12820.536148792553,3001.8664290586603,4274.4358762513948,1589.7942404966707
12,0.44,6981.6818494193976,9392.6987656846686,9081.63882987324,7420.9102253948886,12831.297716243373,3008.6916888064734,4271.6469448349526,1580.8640537511365
13,0.47999999999999998,6986.1368731408775,9396.6929647938723,9084.4046662178607,7427.4385468941546,12842.925664102195,3012.8032378984572,4267.4911850031067,1569.9732273292266
14,0.52000000000000002,6992.4610133476617,9400.7900653972556,9085.4183275728319,7430.7997110664282,12847.046496457237,3014.4477558259578,4271.7084761565193,1580.7465259911205
15,0.56000000000000005,6998.3308313716416,9405.4760875986085,9087.8734046055088,7443.1286210962289,12857.104131075597,3018.1583606901158,4270.6463972921019,1579.0684285968036
16,0.59999999999999998,7000.0352649827864,9407.4709999323622,9089.0819211316193,7446.4744126314599,12867.054902966804,3020.901232078133,4269.1180820872742,1572.5250309868807
17,0.64000000000000001,7005.8420421633055,9411.5286416683157,9091.4819332782336,7458.5779077295301,12866.5647045767,3021.8009673820961,4268.4566349090546,1572.3447987227464
18,0.68000000000000005,7000.6845952839722,9406.1484388961544,9092.2577781345481,7463.5825961715809,12880.354540286857,3028.1788113077873,4267.1071137913968,1566.9488699880694
19,0.71999999999999997,7021.2235445985189,9423.1375089812736,9092.1952300014655,7479.9057694356707,12887.99731666584,3031.0007675299821,4265.5173279220489,1562.8857677209689
20,0.76000000000000001,7071.690602618286,9467.8328401253711,9091.2376581472599,7546.1509401204512,12964.454064389494,3039.5289561215704,4259.4284377452877,1549.5703756091989
21,0.80000000000000004,7071.8195753579612,9467.7247757605419,9094.993260733052,7545.7215352792209,12964.454064389494,3039.5289561215704,4259.4284377452877,1549.5703756091989
22,0.83999999999999997,7071.690602618286,9467.8328401253711,9091.2376581472599,7546.1509401204512,12964.454064389494,3039.5289561215704,4259.4284377452877,1549.5703756091989
23,0.88,7071.690602618286,9467.8328401253711,9091.2376581472599,7546.1509401204512,12964.454064389494,3039.5289561215704,4259.4284377452877,1549.5703756091989
24,0.92000000000000004,7071.690602618286,9467.8328401253711,9091.2376581472599,7546.1509401204512,12964.454064389494,3039.5289561215704,4259.4284377452877,1549.5703756091989
25,0.95999999999999996,7082.0302225662208,9481.3979498492008,9100.3678909908813,7586.9561629515447,13012.471044682177,3023.0199549006456,4257.6611765591824,1535.9595698519825
26,1,7082.0302225662208,9481.3979498492008,9100.3678909908813,7586.9561629515447,13012.471044682177,3023.0199549006456,4257.6611765591824,1535.9595698519825
27,1.04,7082.0302225662208,9481.3979498492008,9100.3678909908813,7586.9561629515447,13012.471044682177,3023.0199549006456,4257.6611765591824,1535.9595698519825
28,1.0800000000000001,7082.0302225662208,9481.3979498492008,9100.3678909908813,7586.9561629515447,13012.471044682177,3023.0199549006456,4257.6611765591824,1535.9595698519825
29,1.1200000000000001,7082.0302225662208,9481.3979498492008,9100.3678909908813,7586.9561629515447,13012.471044682177,3023.0199549006456,4257.6611765591824,1535.9595698519825
30,1.1599999999999999,7072.9248476940993,9471.1611174907957,9110.4215843184738,7606.9471188450007,13046.323727151417,2981.425715681441,4258.7175961938001,1532.7956401421616
31,1.2,7073.0899805756917,9471.02107409774,9110.9197167327839,7606.954438665929,13046.323727151417,2981.425715681441,4258.7175961938001,1532.7956401421616
32,1.24,7072.9248476940993,9471.1611174907957,9110.4215843184738,7606.9471188450007,13046.323727151417,2981.425715681441,4258.7175961938001,1532.7956401421616
33,1.28,7072.9248476940993,9471.1611174907957,9110.4215843184738,7606.9471188450007,13046.323727151417,2981.425715681441,4258.7175961938001,1532.7956401421616
34,1.3200000000000001,7069.6461717609627,9469.1662823743154,9118.4565578716101,7621.3327772950106,13057.23290410592,2953.9591640125236,4263.5140180135741,1519.862683399977
35,1.3600000000000001,7069.6461717609627,9469.1662823743154,9118.4565578716101,7621.3327772950106,13057.23290410592,2953.9591640125236,4263.5140180135741,1519.862683399977
36,1.4000000000000001,7057.4361400397993,9455.6907946870724,9134.0425292606396,7642.3122938348879,13057.997349127938,2916.7572897877581,4267.260550161147,1513.0204524558558
37,1.4399999999999999,7057.4361400397993,9455.6907946870724,9134.0425292606396,7642.3122938348879,13057.997349127938,2916.7572897877581,4267.260550161147,1513.0204524558558
38,1.48,7069.6934271929094,9472.0842044960082,9164.2598913910188,7666.378298206444,13054.761403924285,2897.2234609597162,4273.7506437136399,1501.6089347569923
39,1.52,7069.6934271929094,9472.0842044960082,9164.2598913910188,7666.378298206444,13054.761403924285,2897.2234609597162,4273.7506437136399,1501.6089347569923
40,1.5600000000000001,7063.625455338437,9464.3750026443831,9193.3153168114077,7681.608112389431,13049.601711221185,2887.0407015299652,4277.4082468238939,1497.8887434569424
41,1.6000000000000001,7063.625455338437,9464.3750026443831,9193.3153168114077,7681.608112389431,13049.601711221185,2887.0407015299652,4277.4082468238939,1497.8887434569424
42,1.6400000000000001,7064.891181608562,9465.6581708954491,9210.7447209520396,7688.3597993081185,13043.990500799613,2874.3710751154376,4282.6992631781395,1491.960405655569
43,1.6799999999999999,7066.1761848818087,9466.7071060696035,9217.8529661312896,7690.7183662372991,13042.177475325105,2865.7646039570936,4289.4046595104546,1482.4236545487602
44,1.72,7062.8625172190696,9465.1132543901476,9230.1294888354423,7694.7915757876417,13033.878016955225,2847.3976773406011,4300.8583163338972,1470.0021199985877
45,1.76,7063.0738107395091,9465.5392733908939,9232.0155246698887,7694.3234818158762,13026.148643633323,2832.9869810132968,4304.8482040296703,1465.3413587522991
46,1.8,7062.5448112398581,9464.7814679267285,9244.2322721869841,7699.9421857190137,13023.199540838234,2824.8062043265336,4310.3597705522971,1462.775683064996
47,1.8400000000000001,7057.403086020664,9462.1131667015416,9254.1052581970453,7704.2241750865642,13018.467422119817,2812.6090003655399,4304.6557672544768,1473.2582293429914
48,1.8800000000000001,7054.442158586794,9457.487583261598,9257.8269891865693,7706.2544926985211,13011.861170632925,2799.6542981641087,4322.7181695051459,1450.6367147954061
49,1.9199999999999999,7042.4597798133145,9447.6341830264901,9270.9722361941713,7712.9080155720567,13007.62000489403,2784.8843028263855,4324.6449403310826,1449.1916603648187
50,1.96,7048.2305694388824,9451.5157875476798,9278.1781638873981,7719.5952667801666,13006.52820248627,2781.5432663588763,4329.4878641520645,1443.6986223134372
51,2,7052.2235133632475,9454.2627157047646,9282.5293538965761,7723.7892241559593,13001.908032494513,2766.3565254380528,4334.5847182317548,1437.4692292290674
52,2.04,7045.6741735291034,9448.2788693740713,9288.0225844091565,7731.099120478626,12998.245785868663,2747.8303015856445,4338.2845492325068,1431.6426478234098
53,2.0800000000000001,7042.5793040179415,9446.4151876728502,9291.5784321600222,7735.1822791572813,12994.881019545495,2733.1507585395002,4340.5428854874854,1429.7355830434299
54,2.1200000000000001,7046.0399599826706,9448.3597054280199,9295.4248646625856,7742.8644122008682,12995.700491699901,2720.2741381822798,4347.7140180657852,1418.8762255843503
55,2.1600000000000001,7044.3258260980501,9446.7876206258297,9301.8950618471845,7753.8514168406346,12995.903639508291,2709.9387543837984,4349.3466258010003,1414.8955060201188
56,2.2000000000000002,7045.3153835670628,9448.0964460520099,9303.3631025274281,7755.8396053127899,12997.338921994187,2704.0056321390657,4353.15211379625,1411.7864035629791
57,2.2400000000000002,7048.6373063075052,9450.8461995386151,9307.4285962356207,7766.9373265698632,12999.812091333675,2687.1865250759683,4355.2396940210501,1408.3515681718491
58,2.2800000000000002,7035.0071042804657,9441.8761795475166,9310.1609065781904,7775.3112439614069,13001.31961045864,2678.6005821838862,4357.1953395342298,1403.5084455931155
59,2.3199999999999998,7040.03258712558,9444.3897801853436,9308.3468972876963,7771.3522168885647,13003.353169772436,2671.2693136760381,4362.1055734129695,1383.4879992895567
60,2.3599999999999999,7043.6762681541695,9450.5044677585847,9310.4059971008464,7777.8684982775139,13008.812979030221,2653.0733432195866,4360.8436907109526,1396.2649322104444
61,2.3999999999999999,7056.4701825959837,9456.5257948999315,9312.6599246872192,7788.306473211981,13018.304651385793,2636.5719808615377,4363.6188745417367,1387.4095774727284
62,2.4399999999999999,7048.283630929167,9450.7730153845823,9315.4732981345096,7811.7182238573932,13024.423922456313,2631.1073336746786,4364.2363226592843,1385.128440622515
63,2.48,7050.0197955101876,9454.3588636100467,9314.7706739994883,7819.7736867369822,13025.552655549514,2628.9297207951222,4365.1540797473817,1378.4331646755491
64,2.52,7045.5236082667507,9450.3426364542829,9310.9482342575429,7828.7059237669901,13035.923252716411,2613.2198698114016,4365.8825714521754,1368.6848859631755
65,2.5600000000000001,7055.6372514135974,9460.9711847228045,9306.5997977990664,7837.1527363466857,13039.810484851148,2611.0579847070858,4367.6633469605995,1365.8386391630593
66,2.6000000000000001,7060.9886525837337,9463.588338548625,9304.7078562015522,7844.0252166405153,13051.117933819869,2597.381748449935,4368.4127798324125,1359.0430467280876
67,2.6400000000000001,7056.7694684104126,9463.2223793291305,9301.9845570860598,7853.4952538907201,13057.425493885723,2593.0234113282841,4367.6275418014129,1347.2001712390465
68,2.6800000000000002,7060.9914814585773,9466.1444611591342,9299.4812753179449,7859.6512754780042,13056.638175767699,2594.7426520240697,4365.9376735540736,1339.4679203503165
69,2.7200000000000002,7046.6359847266231,9454.3570211986207,9295.3464357135581,7873.0535040068426,13066.379668258383,2585.8389973859476,4365.9891336733672,1336.4738910983233
70,2.7600000000000002,7055.9735797148278,9460.7039667412901,9289.9636237210707,7885.8883501454993,13070.088522840353,2581.9670672825105,4365.7687940111873,1329.4453576315718
71,2.8000000000000003,7053.471505090808,9458.8556732104389,9284.3506012591315,7903.2329061489581,13085.15950758134,2560.9663151381828,4364.7431975170111,1328.558925475445
72,2.8399999999999999,7052.4151504652218,9456.8053953486269,9282.4878467370509,7902.3242617265423,13089.896015352984,2553.6539147039057,4361.5378435415669,1320.1290195829715
