meanspeed,worm,bacteria
70.16701736507244,N2,BL21
156.25409209804204,N2,BL21
118.21302299648606,N2,BL21
115.62662156281108,N2,BL21
48.45942841497861,N2,BL21
132.23769594150707,N2,BL21
93.36979355766752,N2,BL21
227.54911720647127,N2,NGM
328.0597349704001,N2,NGM
337.94174027532205,N2,NGM
300.9637551197133,N2,NGM
350.8091041441856,N2,NGM
311.8020621267609,N2,NGM
271.1715201858551,CB,BL21
225.59109859306201,CB,BL21
271.7123248957699,CB,BL21
252.06944402228808,CB,BL21
176.27248003919965,CB,BL21
224.1341388385892,CB,BL21
232.9427526958274,CB,BL21
156.56123068468568,CB,BL21
192.48816516214873,CB,NGM
235.97966782484085,CB,NGM
253.11593611148626,CB,NGM
269.2183750252995,CB,NGM
259.0667187763654,CB,NGM
225.8422647966384,CB,NGM
233.40652682726184,CB,NGM
224.72414781783036,CB,NGM
235.87476061697808,CB,NGM
350.43043800292065,CB,NGM
164.509958799394,MT,BL21
155.3915575469705,MT,BL21
189.031026743436,MT,BL21
211.9447625003797,MT,BL21
109.32558689131102,MT,BL21
126.6649454928392,MT,BL21
206.30689120008455,MT,NGM
264.42734991645585,MT,NGM
233.88657751854294,MT,NGM
217.22883996624697,MT,NGM
147.47438307266972,MT,NGM
145.16417724073295,MT,NGM
348.0372736528364,MT,NGM
171.6566189531321,MT,NGM
257.060932652507,MT,NGM
226.24610876401334,N2,BL21
76.47379018369267,N2,BL21
82.06450206793419,N2,BL21
67.34237377323323,N2,BL21
65.78137077226593,N2,BL21
67.01644826909731,N2,BL21
125.45306768376295,N2,BL21
55.52070353002944,N2,BL21
284.94449308531375,N2,NGM
248.2038194568186,N2,NGM
323.6341684388561,N2,NGM
235.95278562953442,N2,NGM
200.47871772178507,CB,BL21
275.41505026412455,CB,NGM
312.8702181929517,CB,NGM
198.49150301912667,CB,NGM
290.10385217270783,CB,NGM
294.8719113201164,CB,NGM
234.82827348301515,CB,NGM
311.2522803627247,CB,NGM
217.41571566034045,CB,NGM
241.70713165896638,MT,BL21
228.72404935589844,MT,BL21
236.42564519409828,MT,BL21
238.79394864464194,MT,BL21
254.35797806004106,MT,BL21
205.09779419677253,MT,BL21
110.7264269043793,MT,BL21
214.1092477045898,MT,BL21
131.17830607289042,MT,BL21
111.04213550218287,MT,BL21
93.868233356551,MT,BL21
209.40248965981365,MT,NGM
275.67146285595896,MT,NGM
224.40499357556976,MT,NGM
83.51283822620022,MT,NGM
249.4400439864997,MT,NGM
197.43304532592464,N2,BL21
250.48774444395866,N2,BL21
167.65710007144034,N2,BL21
115.78299705508557,N2,BL21
147.1705775086074,N2,BL21
143.2236565599454,N2,BL21
110.88946102035423,N2,BL21
159.66326062180156,N2,BL21
119.48176127865675,N2,BL21
133.05375825333087,N2,BL21
123.926787942777,N2,BL21
274.3207894652543,N2,NGM
283.08156987652677,N2,NGM
256.30148142871286,N2,NGM
278.75796319779124,N2,NGM
340.93801940836545,N2,NGM
303.74253534641,N2,NGM
238.4550006886183,CB,BL21
251.13090385629872,CB,BL21
239.55251020433718,CB,BL21
190.03371827618759,CB,BL21
269.4807875561395,CB,BL21
230.07129848232202,CB,BL21
245.66461176452984,CB,BL21
154.91737910686558,CB,BL21
271.4857171349601,CB,NGM
270.5901450287139,CB,NGM
265.1646529150607,CB,NGM
298.841541042654,CB,NGM
217.40714876316218,CB,NGM
165.55303176720074,CB,NGM
182.99886981233246,CB,NGM
125.10052301451606,CB,NGM
261.56260141213073,CB,NGM
251.93731648525088,CB,NGM
186.5999599892218,MT,BL21
195.67650440921955,MT,BL21
227.24001008378693,MT,BL21
66.76984372242745,MT,BL21
239.74590991942654,MT,NGM
303.9982159975773,MT,NGM
200.58211458708877,MT,NGM
244.5423814486905,MT,NGM
210.6154083875104,MT,NGM
170.46367622366424,MT,NGM
293.94108221255635,MT,NGM
227.47003089753935,MT,NGM
