"Worm Data","Position (um) of Centroid"
"Sequence","VID00036.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y"
1,0,5590.9275322739695,4544.143495043415,13553.757536299177,3475.6006413594059
2,0.040000000000000001,5585.4816569333461,4542.5973155073098,13567.572809080275,3478.0037880903046
3,0.080000000000000002,5575.4197679202871,4542.7277348777734,13573.005961216841,3477.2176972780235
4,0.12,5567.2057252994318,4543.688962985434,13582.420957538503,3478.9059044575324
5,0.16,5549.3987703239809,4546.2983064183718,13592.087520260859,3478.8894034022042
6,0.20000000000000001,5546.7642593149094,4547.1267872852868,13601.036572642068,3479.6470093753078
7,0.23999999999999999,5529.4938740517391,4554.1733927783926,13607.347680239856,3481.4889825735745
8,0.28000000000000003,5527.9413008569991,4554.2944150780841,13612.687306421496,3481.5269956851962
9,0.32000000000000001,5512.2109901189197,4561.8775752690981,13627.030448247093,3480.647770174578
10,0.35999999999999999,5510.7823858018537,4563.2719479179386,13632.688623157208,3482.0021281387799
11,0.40000000000000002,5500.6197119575963,4568.1513239317364,13639.245380470842,3479.1127510283659
12,0.44,5492.8201526241537,4574.6251871972809,13650.196421251465,3479.3069210307549
13,0.47999999999999998,5486.3226648643031,4579.2513077930425,13663.564478286175,3480.5452977563082
14,0.52000000000000002,5482.5870337003462,4582.0024987708512,13676.448146151983,3479.3325239841897
15,0.56000000000000005,5474.1708348050042,4588.2539271348942,13679.626313950959,3480.4037282492936
16,0.59999999999999998,5472.5144632257752,4591.5368426704536,13690.41157833555,3482.5157948509168
17,0.64000000000000001,5461.4945737784237,4600.7340437352295,13698.782333129588,3482.8765954899263
18,0.68000000000000005,5454.8549263119858,4607.6632434446601,13701.344182413615,3482.5233407828637
19,0.71999999999999997,5452.6146031281523,4610.0299716978079,13717.678631624343,3486.7724528248737
20,0.76000000000000001,5447.5095636387223,4617.7106173433776,13721.119583512176,3486.7787571287199
21,0.80000000000000004,5438.7347206777777,4624.9547837013597,13736.502654642047,3495.2173325028443
22,0.83999999999999997,5433.1580533435363,4631.8954842060466,13741.291224233841,3497.3019063340162
23,0.88,5416.0980748692891,4648.2204181158932,13753.663735075708,3503.4783358379664
24,0.92000000000000004,5409.4419399168755,4652.7667051077569,13757.928497082545,3508.2393777388734
25,0.95999999999999996,5404.0257177858693,4656.2253219013364,13762.278483161799,3510.654550265047
26,1,5396.4852286912574,4659.9039103826362,13765.745631380005,3515.5385847080961
27,1.04,5387.3797459028201,4663.8726447872377,13768.184755984617,3518.2555750250658
28,1.0800000000000001,5376.0295804586076,4667.9481163889577,13776.581235135292,3524.892973459715
29,1.1200000000000001,5368.1388212878128,4670.5266780888696,13776.611362721729,3524.9236309729031
30,1.1599999999999999,5360.1011425906181,4671.2090292555949,13783.903091492211,3533.4504589101643
31,1.2,5349.5444641838112,4671.9813457607261,13789.106109677403,3539.5365289387628
32,1.24,5341.936059514077,4672.1492889850933,13791.988777628216,3545.0647691633731
33,1.28,5332.96175300915,4672.5949857562082,13796.889544867488,3551.2206510722826
34,1.3200000000000001,5320.7262816341981,4670.1589965728481,13799.969090786715,3558.9012951349032
35,1.3600000000000001,5312.2568327190593,4668.9007778695623,13802.220518405444,3563.4871463378913
36,1.4000000000000001,5300.2012563788858,4666.3943894056929,13804.780881961044,3570.1929412645568
37,1.4399999999999999,5294.4605744688724,4663.9365239385133,13805.511190164769,3574.3896288174719
38,1.48,5290.4257479296457,4662.3013949298247,13809.261623456305,3584.8361192317516
39,1.52,5277.4383462347359,4656.0318718443741,13809.895088666572,3592.4246280113593
40,1.5600000000000001,5275.7168071656388,4655.2251679485134,13812.070618060583,3597.2474746361931
41,1.6000000000000001,5264.3202493568242,4647.154831763637,13812.890592136413,3603.3810390090057
42,1.6400000000000001,5253.2402348758214,4635.9368894825075,13817.439463826397,3621.7649464910091
43,1.6799999999999999,5244.2807279286644,4629.1523443317847,13819.571764946873,3629.4569543328298
44,1.72,5237.6817561148728,4620.9076313099304,13822.04053113088,3637.293873171483
45,1.76,5229.867682098853,4611.2864769653625,13820.535657885959,3640.3298520458266
46,1.8,5229.4126277209107,4607.8603416434516,13823.959057981294,3653.3209320755859
47,1.8400000000000001,5225.6252212371855,4602.2095335394715,13829.296622176178,3668.2664626260284
48,1.8800000000000001,5221.3255257447026,4592.5066166261349,13828.409266917706,3672.3574788501792
49,1.9199999999999999,5215.696035145158,4582.2827572955975,13831.998765259414,3681.5703006237791
50,1.96,5211.2980231905094,4575.4384753270006,13831.69100997018,3685.8954046768404
51,2,5205.8627732804962,4564.6093526467121,13835.489813991011,3695.6543205553844
52,2.04,5205.0496805622188,4560.579527635884,13834.410477673335,3696.1251988686499
53,2.0800000000000001,5205.4652479002107,4560.9959971150492,13839.125687826519,3708.5176521299045
54,2.1200000000000001,5204.4684555622289,4558.8071638324018,13840.238913325265,3709.349238286848
55,2.1600000000000001,5199.4428778079518,4545.5675208168559,13840.85150769232,3715.6846793639115
56,2.2000000000000002,5194.2675415462263,4533.2248915447408,13841.594787998014,3716.145008827385
57,2.2400000000000002,5189.741976371206,4521.4770323518369,13846.337913297393,3723.4317436490346
58,2.2800000000000002,5184.3811063234944,4509.3025244770606,13850.499090526619,3729.4832679177025
59,2.3199999999999998,5177.6929427703608,4497.6951062222233,13855.812502021969,3735.4166319623137
60,2.3599999999999999,5170.7606756315845,4483.6077453250437,13869.716845291619,3748.9705621679359
61,2.3999999999999999,5169.0510947349539,4480.4576262326691,13876.670911454356,3756.1578446788299
