"Worm Data","Position (um) of Centroid"
"Sequence","VID00260.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y"
1,0,12159.5776963436,7322.0521475904334,4959.5665629093328,7046.4322973344333
2,0.040000000000000001,12165.037181742564,7326.973869379688,4962.1010930208622,7049.5332275553419
3,0.080000000000000002,12161.949874705722,7330.8645191716914,4975.2616534093859,7073.1460739084505
4,0.12,12149.847123796402,7318.0215371691775,4975.8933184954612,7069.5688282705032
5,0.16,12162.798426898366,7322.7361803142849,4983.155769651903,7081.5860106091977
6,0.20000000000000001,12159.427775229664,7319.1561243444148,4990.2291511977201,7092.3153337359454
7,0.23999999999999999,12159.751459652589,7320.3684884044233,4994.0197820263365,7098.9350461627137
8,0.28000000000000003,12146.803637253741,7308.4879625491922,4997.7528557288742,7108.4561665641504
9,0.32000000000000001,12156.110554254034,7317.4735144066026,5001.1406459540176,7129.1350436528101
10,0.35999999999999999,12159.391325386636,7314.0018748918337,5003.0275550075639,7136.4103081526109
11,0.40000000000000002,12160.175733227632,7319.4334247344923,5002.7047430040575,7135.0553430111968
12,0.44,12159.901991537596,7319.288476121108,5003.0476714990618,7143.8035730221345
13,0.47999999999999998,12162.139427584299,7316.9860922268281,5001.9299946238216,7154.9112632784418
14,0.52000000000000002,12159.357973020173,7321.3177808244454,5002.3728622270946,7155.7705724484267
15,0.56000000000000005,12156.031825355014,7317.4023634738442,5003.3414211902809,7158.2011428831738
16,0.59999999999999998,12167.733228680578,7330.8279849658029,4998.9184744862932,7170.8323719478494
17,0.64000000000000001,12171.133588596231,7327.2827303835929,4991.943299930148,7187.7531456547331
18,0.68000000000000005,12158.859884015788,7314.7990674501198,4988.7488649593906,7192.6384642680696
19,0.71999999999999997,12132.888587169336,7296.4793736650781,4982.5419476780171,7200.3769968743654
20,0.76000000000000001,12133.236221809042,7296.0696395852356,4977.0306291183451,7204.7523541286364
21,0.80000000000000004,12133.418795273954,7295.863403065483,4969.7808250882372,7211.3352340868687
22,0.83999999999999997,12133.663344795232,7295.5698110934809,4965.6656323589768,7214.3978152556647
23,0.88,12122.146729171254,7283.1216869904219,4955.553133829023,7219.4108327437298
24,0.92000000000000004,12126.232997421967,7290.6788895847967,4936.2437937211325,7231.2444666705724
25,0.95999999999999996,12140.431290975257,7299.8370244621838,4936.7378062386806,7231.6544150080172
26,1,12164.648325274267,7322.9481199535403,4924.1556789682736,7236.3489380432366
27,1.04,12142.706289046229,7298.0908500222959,4869.2697951702321,7252.1672395068181
28,1.0800000000000001,12166.203500777325,7320.7927071617605,4850.7607611610538,7255.0020314346457
