"Worm Data","Position (um) of Centroid"
"Sequence","VID00151.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y"
1,0,1391.3294724665016,8119.0176306720314,10339.69748342847,4764.2046211567795
2,0.040000000000000001,1396.1603849127096,8114.1333794859183,10340.043544207556,4780.3341183145003
3,0.080000000000000002,1402.1717390108331,8108.2183767132574,10342.938560429502,4796.3312617315132
4,0.12,1411.2815628341796,8094.7427453172995,10344.622853619976,4805.2533776025948
5,0.16,1417.0672903345155,8088.6581066678555,10345.646632446589,4819.6648739904131
6,0.20000000000000001,1432.2083145233289,8068.1654911917249,10346.705706398585,4823.7163624324494
7,0.23999999999999999,1435.9502078454257,8062.0411087822722,10347.530334985371,4836.1017027038206
8,0.28000000000000003,1440.6288424791608,8058.5538462367531,10346.187689566214,4853.0676172792755
9,0.32000000000000001,1436.2536747776062,8065.8114281554344,10343.615515871754,4861.3609961540951
10,0.35999999999999999,1446.0440753783932,8049.4458175680993,10341.066847061207,4869.618620513289
11,0.40000000000000002,1444.2624654930175,8055.7197642024694,10332.441815466225,4888.8646304332451
12,0.44,1452.1124892625303,8037.0412627530959,10333.24235068344,4885.5384938252419
13,0.47999999999999998,1451.3064123507347,8039.3003402010008,10323.388799549277,4903.6793197829074
14,0.52000000000000002,1453.1441315352943,8034.7994470711119,10326.91588080256,4896.4660265922676
15,0.56000000000000005,1458.1908618535972,8022.0661747961731,10321.146708179005,4904.0857895924009
16,0.59999999999999998,1460.0843925325469,8008.6157756659813,10311.507941310641,4916.0090776209381
17,0.64000000000000001,1458.6435207558325,8016.9643745929106,10304.289866646654,4924.5434831599268
18,0.68000000000000005,1460.8879784886021,7996.1972898654403,10295.161973111339,4934.2018040512294
19,0.71999999999999997,1461.4787828226158,7998.2044618278269,10286.568301684567,4940.5715371411279
20,0.76000000000000001,1461.552094969574,7992.3519307140914,10271.204760859329,4948.5002116745454
21,0.80000000000000004,1458.5629439049037,7974.7320235793359,10261.838302867349,4952.5560331846655
22,0.83999999999999997,1457.8594528121907,7967.9545735745032,10253.286888855131,4955.466017616337
23,0.88,1453.105635503292,7958.9847549186125,10242.655077363965,4959.4432990583646
24,0.92000000000000004,1452.9118061054753,7953.3974811955923,10248.236916233607,4958.5237945898052
25,0.95999999999999996,1450.8985745431714,7950.0448387015686,10240.605646221429,4959.2970072039816
26,1,1444.0962518553572,7936.3199543554947,10240.787175544952,4959.9622208837582
27,1.04,1440.1146339878323,7933.3886835670846,10234.62687381485,4959.396947967165
28,1.0800000000000001,1436.1702557134336,7927.3369779232944,10227.888354801735,4960.5928631551433
29,1.1200000000000001,1426.8071955437003,7914.8213877361195,10219.852703350169,4962.5477487650569
30,1.1599999999999999,1433.0798010287617,7922.8028169418321,10213.698200810353,4963.0549851780324
31,1.2,1418.2808840535417,7906.2274472778963,10196.228130667188,4966.0098059217462
32,1.24,1421.3344823882219,7910.1835530224962,10190.778938166593,4967.7388441596586
33,1.28,1419.7735823902585,7907.1840142809233,10185.633564681611,4968.317874739696
34,1.3200000000000001,1417.7040184646198,7907.4546312427847,10175.341653235622,4970.3305086788523
35,1.3600000000000001,1403.2159101067448,7894.5300149592586,10168.046198322023,4971.4662225212742
36,1.4000000000000001,1389.7981847208709,7888.2811559554511,10175.686065581778,4969.3888291012918
37,1.4399999999999999,1384.2496302879738,7886.2782248919048,10173.7290397456,4969.9900120944876
38,1.48,1379.6020051001221,7882.0312865877877,10172.130104844506,4972.3607447890208
39,1.52,1372.4491002902041,7876.1324065137342,10168.633570489983,4973.7475457817691
40,1.5600000000000001,1365.9380990226841,7873.7601394833237,10160.709829664245,4975.8571084340965
41,1.6000000000000001,1366.1409479635965,7874.490301819651,10152.113565214373,4979.3235493660413
