"Worm Data","Position (um) of Centroid"
"Sequence","VID00180.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y","4 x","4 y"
1,0,1870.9816104999522,8469.0153586140113,8357.2307249987825,7371.8229326826513,4628.8794724381196,7084.6541211688236,16167.381349216303,2592.303333206406
2,0.040000000000000001,1870.7936657162518,8468.2942138217222,8353.4108795357497,7372.2460275943185,4629.1506222917615,7086.5094407053321,16159.662063619639,2594.7911544048629
3,0.080000000000000002,1875.893184680762,8469.4484834147243,8346.7178207164761,7374.8891318222968,4629.5101426975252,7089.6797768949673,16154.221120050059,2599.2070557493353
4,0.12,1874.2837191551539,8469.3866005861091,8346.4974130784776,7373.7769719151056,4629.4304156663466,7099.6976353456748,16142.370574112472,2605.4425348326913
5,0.16,1875.2629296527896,8467.4447295203518,8340.6094676697594,7377.2437502132707,4629.4525807553864,7096.8415312102552,16121.068083118353,2614.7958451936047
6,0.20000000000000001,1872.5874281090732,8468.8703313397618,8337.7889908555717,7378.0739792583936,4628.5804412031748,7100.9244798998097,16122.249421303826,2611.5691166873294
