"Worm Data","Position (um) of Centroid"
"Sequence","VID00115.AVI"

,,"Track"
"Frame","Time","1 x","1 y"
1,0,8572.4983015607104,4867.7943739663106
2,0.040000000000000001,8579.5705414892382,4882.0324775499384
3,0.080000000000000002,8574.6592362910542,4866.9576941984324
4,0.12,8571.1377803145333,4835.3815935450311
5,0.16,8571.2196787521516,4835.3363832151554
6,0.20000000000000001,8573.0927429004478,4851.1356489675281
7,0.23999999999999999,8572.5369036104094,4835.310043710293
8,0.28000000000000003,8573.9659433703237,4835.3110439361617
9,0.32000000000000001,8576.495027843157,4819.562272981877
10,0.35999999999999999,8581.0001747890256,4803.8574522699437
11,0.40000000000000002,8582.1818744946377,4804.3276960139656
12,0.44,8579.5939184201743,4805.374927212416
13,0.47999999999999998,8585.9026325723917,4796.5062328781751
14,0.52000000000000002,8592.4982424993232,4787.4989606951412
15,0.56000000000000005,8598.4408709376312,4780.7760445616241
16,0.59999999999999998,8607.3958702043019,4772.9950497121627
17,0.64000000000000001,8615.9469592437454,4764.5171658364698
18,0.68000000000000005,8646.011535410631,4746.5168671981282
19,0.71999999999999997,8633.1436293368715,4752.109092095674
20,0.76000000000000001,8660.2175937407774,4737.9665715372976
21,0.80000000000000004,8650.4224698115668,4740.6821228661274
22,0.83999999999999997,8655.9258909191212,4737.3150337799125
23,0.88,8665.9731051722265,4731.9232265650899
24,0.92000000000000004,8667.6843164552865,4731.1345944037839
25,0.95999999999999996,8682.6646861970657,4724.6251554843966
26,1,8671.0135790150889,4728.7296472421203
27,1.04,8680.3090586033741,4724.2120674463067
28,1.0800000000000001,8681.5613870510897,4722.9993165209144
29,1.1200000000000001,8689.8013775893614,4720.161597118089
30,1.1599999999999999,8697.2620766108885,4715.8396773719624
31,1.2,8705.4893817818065,4712.0815580902326
32,1.24,8705.9856915118598,4711.3264429739984
33,1.28,8708.9538076364224,4709.300272427342
34,1.3200000000000001,8718.8731628293044,4704.2398475498976
35,1.3600000000000001,8727.8365544055468,4698.8651726850949
36,1.4000000000000001,8731.0048938624077,4697.391819014947
37,1.4399999999999999,8742.7873366415461,4686.7354860966761
38,1.48,8761.0933744533049,4672.5421942396961
39,1.52,8769.0618091863707,4662.1859537146411
40,1.5600000000000001,8767.1013386382092,4662.0468129813826
41,1.6000000000000001,8778.3199387117693,4645.6509014504954
42,1.6400000000000001,8773.3064077878116,4653.09704293505
43,1.6799999999999999,8779.7132605281913,4639.663475148719
44,1.72,8781.0796169551813,4634.1587301289474
45,1.76,8789.0084970632397,4608.7035284099411
46,1.8,8789.2927116286828,4608.7346337486615
47,1.8400000000000001,8788.3150046823448,4605.1347789132851
48,1.8800000000000001,8785.4233169703384,4610.144834923909
49,1.9199999999999999,8784.7787160300213,4584.6620895401793
50,1.96,8781.8596937367383,4571.5137951789438
51,2,8776.7839748285169,4559.1056488363611
52,2.04,8777.1638655652951,4560.5064485966723
53,2.0800000000000001,8767.985796514773,4546.7192727343408
54,2.1200000000000001,8757.0533027125821,4532.5047611366917
55,2.1600000000000001,8753.4888051303424,4528.8664691788681
56,2.2000000000000002,8755.1155927784439,4533.1241190478331
57,2.2400000000000002,8739.6114199802523,4520.1983127275753
58,2.2800000000000002,8734.7730411204539,4514.8466181672566
59,2.3199999999999998,8730.1534888835722,4515.0819110566772
60,2.3599999999999999,8727.9573744972859,4514.0085503908685
61,2.3999999999999999,8717.8481439900188,4507.3940759114112
62,2.4399999999999999,8707.0223474121467,4502.2326858070737
63,2.48,8699.4438458338864,4498.6206181858852
64,2.52,8692.0853022264164,4495.2270784594375
65,2.5600000000000001,8681.7210236425781,4492.6053922585643
66,2.6000000000000001,8679.0086606611731,4490.7288634881334
67,2.6400000000000001,8677.7977055752508,4491.2359090668133
68,2.6800000000000002,8671.1562566111206,4490.1106918163359
69,2.7200000000000002,8670.0752984979426,4489.3443116192238
70,2.7600000000000002,8656.5385329900746,4485.5058115865668
71,2.8000000000000003,8655.1566580340186,4484.7961182416057
72,2.8399999999999999,8643.6495765019554,4480.8736733236592
73,2.8799999999999999,8638.3435478142655,4479.9157103087728
74,2.9199999999999999,8625.3317847590752,4474.1191722646745
75,2.96,8623.6516070166836,4472.5756240011378
76,3,8609.1642150038406,4466.3153119894578
77,3.04,8603.4892990083135,4464.4429184292767
78,3.0800000000000001,8595.8890207424665,4458.6852027298801
79,3.1200000000000001,8589.338737283475,4453.7143603094128
80,3.1600000000000001,8583.7319852736164,4450.3354474414064
81,3.2000000000000002,8575.1555048240862,4446.1724395027259
82,3.2400000000000002,8566.8083527725448,4439.4796159307152
83,3.2800000000000002,8555.5232433247602,4427.4304221563261
84,3.3200000000000003,8548.0822353543444,4419.5135520558515
85,3.3599999999999999,8545.3089067126602,4416.2621404954061
86,3.3999999999999999,8544.0412756428959,4413.5202641710803
87,3.4399999999999999,8537.7347884350165,4404.1698341660858
88,3.48,8534.8829193689999,4397.6560608898217
89,3.52,8535.0911272605481,4398.8220846852109
90,3.5600000000000001,8528.3095208281738,4379.1815552123226
91,3.6000000000000001,8526.9677592368353,4377.6027846926645
92,3.6400000000000001,8525.0685055512458,4369.9530457357478
93,3.6800000000000002,8523.6468969878933,4357.600473399013
94,3.7200000000000002,8523.9244699950141,4338.8473519804138
95,3.7600000000000002,8523.8028150919745,4342.4670688088208
96,3.8000000000000003,8527.6176435335055,4322.6892390253779
97,3.8399999999999999,8526.8936604144219,4326.628206507502
98,3.8799999999999999,8528.0159836408111,4320.4306917435924
99,3.9199999999999999,8531.4761548763508,4312.0670285019451
