id,meanofmeanspeed,semofmeanspeed,stdofmeanspeed,n
IPTG_N2_BL21,116.93718251025794,14.609374151369622,46.19889750791753,10
IPTG_N2_NGM,250.99169174834242,12.188374867703857,32.24740878597418,7
IPTG_CB_BL21,175.55621114123778,10.269285197967026,29.045924805684486,8
IPTG_CB_NGM,235.34955979340629,10.764790271602507,34.04125579228651,10
H2O_N2_BL21,111.945583636162,12.980372046594388,38.94111613978316,9
H2O_N2_NGM,259.35088441122144,12.812924872415245,33.89981277976474,7
H2O_CB_BL21,162.68732271212792,19.34305508639516,51.17691335482459,7
H2O_CB_NGM,260.7858684209695,12.28779099475921,40.75399223192423,11
