"Worm Data","Position (um) of Centroid"
"Sequence","VID00138.AVI"

,,"Track"
"Frame","Time","1 x","1 y"
1,0,9280.2249538971228,3889.3982178155056
2,0.040000000000000001,9276.4145863136364,3886.4310137446282
3,0.080000000000000002,9270.8116249087998,3882.8139590433511
4,0.12,9260.9017067269888,3877.9436550469818
5,0.16,9252.2007631856177,3874.2564177922786
6,0.20000000000000001,9250.2301529335309,3871.1613007885708
7,0.23999999999999999,9238.9188171377082,3867.098193996354
8,0.28000000000000003,9228.7508638126819,3865.371748022837
9,0.32000000000000001,9217.4478349172332,3863.4257591642217
10,0.35999999999999999,9204.81055405386,3858.3401890109317
11,0.40000000000000002,9199.0059159255015,3856.1088704922913
12,0.44,9180.7239500571341,3857.2177660126681
13,0.47999999999999998,9178.6535278772044,3856.961320322519
14,0.52000000000000002,9173.0196208280249,3853.2433687112443
15,0.56000000000000005,9167.1403140752118,3853.2352409982668
16,0.59999999999999998,9157.729594489665,3854.003650898876
17,0.64000000000000001,9142.5669413992655,3857.8145154428066
18,0.68000000000000005,9130.5076452564299,3861.9193896132729
19,0.71999999999999997,9119.8056954880885,3864.5887780468584
20,0.76000000000000001,9109.8959498336862,3868.9662238035589
21,0.80000000000000004,9105.1027531372329,3870.5895085307375
22,0.83999999999999997,9103.4269591468128,3869.7796026402821
23,0.88,9098.4799890562699,3871.6204246431616
24,0.92000000000000004,9092.5225051772559,3875.6015994476948
25,0.95999999999999996,9088.708662670746,3877.3151188296833
26,1,9079.0174666415969,3886.1816937910216
27,1.04,9078.4957829513769,3887.9381009672752
28,1.0800000000000001,9070.9704737576485,3896.1761996073492
29,1.1200000000000001,9065.891802762455,3902.4487173125253
30,1.1599999999999999,9067.4841037155402,3901.0007587138589
31,1.2,9058.039032311488,3918.753140293149
32,1.24,9049.1741921320809,3959.3466967106106
33,1.28,9053.1149835670494,3938.901252237697
34,1.3200000000000001,9053.125244390325,3938.9043041059604
35,1.3600000000000001,9059.5000684682655,3919.0803851023638
36,1.4000000000000001,9054.8213112667727,3939.3508375094198
37,1.4399999999999999,9054.8566657334122,3939.3585177216846
38,1.48,9055.0353831924494,3939.3896225266844
39,1.52,9062.4551449653227,3981.3044880319412
40,1.5600000000000001,9088.291200053387,4015.3406034173249
41,1.6000000000000001,9077.1094130321217,3997.8808245737328
42,1.6400000000000001,9079.1539417158128,3996.7873116980154
43,1.6799999999999999,9092.6763869177121,4012.6700175311316
44,1.72,9111.0450983154878,4024.4219562953649
45,1.76,9113.1108887821374,4021.8706818551727
46,1.8,9151.3326622738587,4039.5449069950173
47,1.8400000000000001,9132.5771778516464,4030.5890716984941
48,1.8800000000000001,9133.7757903700822,4038.6632699108804
49,1.9199999999999999,9144.6305621137089,4042.9873970349499
50,1.96,9152.7556607380429,4046.239158388119
51,2,9167.9270775546574,4049.4961778926399
52,2.04,9183.0440773654009,4052.095790191046
53,2.0800000000000001,9189.3890774973843,4053.0201864742894
54,2.1200000000000001,9199.5106118765561,4054.1645901996335
55,2.1600000000000001,9215.3715758104481,4056.3755205297193
56,2.2000000000000002,9227.3331962238335,4057.6264790325076
57,2.2400000000000002,9239.7928106443123,4059.2155423361819
58,2.2800000000000002,9252.0971937393551,4060.3216871978857
59,2.3199999999999998,9264.8815499007469,4061.3599789912614
60,2.3599999999999999,9277.076496976706,4063.919719976966
61,2.3999999999999999,9291.8025621557917,4065.7622953579457
62,2.4399999999999999,9303.5426793078295,4068.3806714659486
63,2.48,9311.0318028984238,4068.0676101275885
64,2.52,9323.0433812606698,4070.5522277684495
65,2.5600000000000001,9334.507083993818,4073.6233969310706
66,2.6000000000000001,9347.1784331557901,4076.1730170083383
67,2.6400000000000001,9383.823960905178,4090.954442770787
68,2.6800000000000002,9379.2966368587004,4086.2556220377228
69,2.7200000000000002,9401.4414565656498,4098.4181332091675
70,2.7600000000000002,9415.7857030564446,4105.9085075905505
71,2.8000000000000003,9423.1861385917582,4110.844714730868
72,2.8399999999999999,9430.7721170671939,4115.826504898695
73,2.8799999999999999,9442.2710232100017,4128.4682133584674
74,2.9199999999999999,9448.5222333491129,4136.2696063658186
75,2.96,9453.0575738033294,4144.0059680129962
76,3,9454.3989832874577,4144.1881101159697
77,3.04,9459.8047941021177,4153.8244943955078
78,3.0800000000000001,9462.2234004253605,4159.4745525656808
79,3.1200000000000001,9469.2211213571318,4175.8819842128141
80,3.1600000000000001,9472.5555718159576,4188.6957760456535
81,3.2000000000000002,9474.9023094641016,4203.7442711198128
82,3.2400000000000002,9473.9407207401709,4206.412551964936
83,3.2800000000000002,9474.1200908334667,4214.1984145660972
84,3.3200000000000003,9472.8469944830958,4217.5645537682549
85,3.3599999999999999,9470.5300022992342,4222.6158997717221
86,3.3999999999999999,9469.5095894707301,4217.1429555962641
87,3.4399999999999999,9469.7461296561796,4215.4000749266361
88,3.48,9469.4425166118381,4214.3430618583216
89,3.52,9468.4859772896507,4213.3314231460572
90,3.5600000000000001,9468.2654766810101,4213.2103187340354
91,3.6000000000000001,9468.1555257303589,4214.4946868551451
92,3.6400000000000001,9466.7351314087173,4208.6491273165911
93,3.6800000000000002,9465.2078826484303,4208.0741319121798
94,3.7200000000000002,9464.9797659202322,4205.0012116736043
95,3.7600000000000002,9461.4529894721745,4202.884195861423
96,3.8000000000000003,9460.6003983192641,4198.8523113739475
97,3.8399999999999999,9460.0692329619014,4200.2986280047426
98,3.8799999999999999,9459.4314646067687,4196.9341088031379
99,3.9199999999999999,9458.5257059446412,4191.7926536746554
100,3.96,9457.7886969772153,4190.1300740831357
