"Worm Data","Position (um) of Centroid"
"Sequence","VID00099.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y"
1,0,14708.446525013545,7067.7942417546537,3002.6645396874655,5430.4941300931814
2,0.040000000000000001,14709.352583600812,7068.1228305128243,2999.1616291012897,5410.8784108528334
3,0.080000000000000002,14703.837912198642,7065.8706885936299,2997.8666115715955,5413.7883844063826
4,0.12,14703.581563771422,7065.5964810071619,2996.7561345123786,5415.353684987168
5,0.16,14703.489871470958,7065.7769366715975,2985.2603703373143,5385.6146993873936
6,0.20000000000000001,14698.125252763768,7062.6815058100401,2992.6872396054514,5399.4311899850291
7,0.23999999999999999,14689.495826395512,7061.4641115451923,2995.4789688716724,5398.4419587880366
8,0.28000000000000003,14696.061762783213,7062.913584562164,2991.0009453674511,5383.174855441488
9,0.32000000000000001,14689.970598464713,7062.9892385784369,2983.2407486838656,5369.3782788396784
10,0.35999999999999999,14684.278853037817,7061.755967363124,2989.5572667123447,5384.1363586709185
11,0.40000000000000002,14688.90831972265,7064.8130741422601,2972.6316958376206,5357.3742415751376
12,0.44,14686.564745760656,7060.5249561645669,2977.8434350825664,5372.7612280795829
13,0.47999999999999998,14688.44868040485,7062.0114784261077,2967.830987194327,5360.298215878478
14,0.52000000000000002,14684.235691660153,7060.3182409286455,2957.8623238297041,5347.8654839403143
15,0.56000000000000005,14692.817518985865,7064.1613565398075,2957.6354465447766,5348.0201158264845
16,0.59999999999999998,14677.318673266327,7058.3441770547834,2955.2735565057919,5349.6591193718996
17,0.64000000000000001,14682.837263016694,7059.7786713479036,2945.8051817818064,5337.0625463272363
18,0.68000000000000005,14659.994126434134,7048.6729533161442,2936.0556977971587,5324.4564617658871
19,0.71999999999999997,14666.701861202666,7051.9195064872256,2941.1823184690702,5339.7292549632666
20,0.76000000000000001,14665.576407935503,7050.0311612627893,2931.7859860945505,5326.9578702583021
21,0.80000000000000004,14667.844883373522,7052.5127148100646,2915.1148859441932,5317.7665391777273
22,0.83999999999999997,14662.556061761617,7050.4843114253417,2904.4347810820209,5305.98034650314
23,0.88,14676.884777677837,7057.4466982518279,2894.4696452974904,5291.0266768765759
24,0.92000000000000004,14665.908822894011,7053.6164370868719,2887.6497641968581,5291.1104684934799
25,0.95999999999999996,14666.816826073033,7054.9154358401047,2886.2534679952705,5291.4871901255401
26,1,14663.117219108346,7047.7619313703526,2885.0699689916432,5291.7312550689239
27,1.04,14676.871463642234,7058.9411112898051,2882.0023480770446,5276.2631114865117
28,1.0800000000000001,14665.945928968096,7050.4816043677301,2881.1383360972277,5260.5164899335468
29,1.1200000000000001,14665.974507910421,7051.7739161230738,2879.9158090876285,5260.4583389532081
30,1.1599999999999999,14665.783609300344,7050.1824749567604,2879.8302266302217,5260.4463968260989
31,1.2,14675.744425840772,7056.3445274682617,2880.3132168488241,5244.5267113585751
32,1.24,14674.344519338829,7053.8166813466387,2875.0808067131807,5259.4359850878245
33,1.28,14662.755682290468,7047.2924567796017,2877.4635176422712,5243.745335702889
34,1.3200000000000001,14660.579969372769,7047.7446225564299,2885.2203686433504,5215.0166769772031
35,1.3600000000000001,14660.66647567518,7045.763183948854,2878.6049826739572,5229.3313529595043
36,1.4000000000000001,14659.652308861834,7048.2494941341974,2884.22445211782,5214.5645422244315
37,1.4399999999999999,14660.899276008278,7050.9769153029802,2891.4564704412187,5200.5753513106092
38,1.48,14655.282699037434,7047.368480846073,2879.5518653964045,5214.3624904982316
39,1.52,14650.46359666396,7041.5932633622979,2887.1661445664877,5200.551988835422
40,1.5600000000000001,14648.20103843385,7039.6955389099821,2908.6179550854777,5175.3712474664817
41,1.6000000000000001,14653.565576245755,7048.144723967479,2908.5587193410911,5175.3233536365306
42,1.6400000000000001,14642.742376681124,7040.3735614133875,2908.5804149334108,5175.3380914680383
43,1.6799999999999999,14637.434831521032,7035.0353218476685,2908.2787089494177,5175.1233042542299
44,1.72,14639.608380438389,7039.515703512071,2916.770140376861,5161.8120294178616
45,1.76,14640.500066191085,7041.9637804239237,2924.614209786097,5148.1150968922193
46,1.8,14639.867150522479,7042.3030465206957,2924.3273330613019,5147.9535526715599
47,1.8400000000000001,14645.187764705981,7046.4121266443572,2932.3409617645498,5134.3700452105404
48,1.8800000000000001,14632.094047104378,7034.3597812222597,2925.8678035594162,5134.0938915568449
49,1.9199999999999999,14634.353467285315,7035.5524572049326,2927.9350673239614,5130.0574957577555
50,1.96,14629.892932682467,7028.4272063176541,2931.277154433631,5118.7736097563211
51,2,14633.268535006589,7035.6694186097202,2935.8961027572723,5106.1205901749072
52,2.04,14637.989577757935,7043.2245411578351,2938.841222775156,5098.6777300066096
53,2.0800000000000001,14628.213477922489,7031.0442149648534,2936.2860793975956,5107.2034670375633
54,2.1200000000000001,14631.526444123616,7034.226455538088,2940.5160596860155,5088.495424794578
55,2.1600000000000001,14633.080127580555,7036.9860612991088,2939.5530074196699,5075.00138343256
56,2.2000000000000002,14627.80908672945,7032.1067752007311,2940.4636366710956,5067.525173767297
57,2.2400000000000002,14621.376981361083,7023.31681052979,2940.4017454330015,5054.1171312707966
58,2.2800000000000002,14624.782610304605,7026.3983751336864,2940.6986718664466,5053.9446150867916
59,2.3199999999999998,14622.899694020647,7026.9331794129739,2939.7276994184358,5059.4940948905341
60,2.3599999999999999,14615.001483551034,7017.8510037412652,2938.1926031942098,5042.8937322730026
61,2.3999999999999999,14620.914868954898,7026.2563588085868,2935.7128833028437,5041.1898849440286
62,2.4399999999999999,14618.382500168142,7022.8366465695126,2931.902247487033,5029.3852377001022
